Title,Company,Location,Date Posted,Link,Short Description,Sub Classification,Classification,Work Arrangement,Job Type,Cluster
Staff Data Scientist,Future Secure AI Pty Ltd,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90609653?type=standard&ref=search-standalone&origin=jobCard#sol=457c32dd9e36f1090058e46419a63d34c14aeb22,Shape the future of AI alongside world‑class technical and commercial leaders.,Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,0
Senior AI Solutions Developer,Galileo Search,Sydney NSW,,https://www.seek.com.au/job/90150826?type=promoted&ref=search-standalone&origin=jobCard#sol=fbf02bffd13cffb31369b8487f23be210c99b3bc,AI Developer This isn't a research/data science role. It's about shipping production AI solutions that work. reliably within Microsoft/.NET ecosystem.,Developers/Programmers,(Information & Communication Technology),(Hybrid),This is a Full time job,0
Senior Data Engineer - GCP/Snowflake/Databricks,Simplyai,Sydney NSW,,https://www.seek.com.au/job/90464324?type=promoted&ref=search-standalone&origin=jobCard#sol=dd0eae49ea819022f22699852fef9af2ba2225ae,Design cutting-edge data pipelines using GCP/Snowflake/Databricks. Collaborate with talented team. Grow your career at leading AI provider.,Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Enterprise Data Warehouse Engineer,Recruitment Hive,Sydney NSW,Listed twenty four days ago,https://www.seek.com.au/job/90173682?type=standard&ref=search-standalone&origin=jobCard#sol=49c8514124c0d58315e1ad963502cc20d26d922d,4+ years exp req - Develop & Enhance reusable ETL Patterns - Python | SQL - Snowflake or Teradata - Greenfield DevOps! - Call Daniel (02) 6299 1006,Database Development & Administration,(Information & Communication Technology),(Hybrid),,2
Software Developer,Assure Programs,North Sydney,Listed ten days ago,https://www.seek.com.au/job/90461891?type=standard&ref=search-standalone&origin=jobCard#sol=60278c3c457c46f67bf28c7dffb68ec7995756fc,A great opportunity to join a supportive Development Team to with a common passion for using technology to improve wellbeing. Permanent Full-Time role,Developers/Programmers,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Application Support Engineer,Plenti,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90614750?type=standard&ref=search-standalone&origin=jobCard#sol=4eac46bf49923b1cbc4a07902ccfea52aa18a1dd,"Join Plenti as an Application Support Engineer, tackling complex technical issues, bridging teams, and driving solutions from diagnosis to resolution!",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,1
Technical Analyst,FlexTrade,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90623459?type=standard&ref=search-standalone&origin=jobCard#sol=0671f5dcbbc05742099b791a1cd946b3b90062ea,"Looking for a tech-savvy analyst skilled in Linux, scripting & client support, delivering reliable trading solutions and seamless issue resolution.",Business/Systems Analysts,(Information & Communication Technology),(Hybrid),This is a Full time job,0
Senior Full Stack Developer,Aurec,Haymarket,Listed twenty six days ago,https://www.seek.com.au/job/90126904?type=standard&ref=search-standalone&origin=jobCard#sol=8f11a5427543a2b3559ff5c9dd77231642ef571c,NSW Gov seeking a Senior Full Stack Developer to lead the build of robust Python/Django/React platforms for high-stakes Cyber Security initiatives.,Developers/Programmers,(Information & Communication Technology),(Hybrid),,0
Senior Software Engineer- ML & Data Pipelines,Correlate Resources,Sydney NSW,Listed eighteen days ago,https://www.seek.com.au/job/90302689?type=standard&ref=search-standalone&origin=jobCard#sol=5007b7448a2de50c45a4eb268a23c1bbcd00346b,Be part of a fast-growing fintech scale-up shaping the future of data-driven financial systems. Build and scale software and data pipelines.,Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Software Engineer II - Azure Data Lake Storage Gen 2,Microsoft,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90327125?type=standard&ref=search-standalone&origin=jobCard#sol=16abdf2027743dee581836a966f3710b9bd2b8c4,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Senior Software Engineer - AI,RBOL TECH PTY LTD,Sydney NSW,Listed fourteen days ago,https://www.seek.com.au/job/90381459?type=standard&ref=search-standalone&origin=jobCard#sol=87d2858cb87498b5f38a8f37d08f50be3b820b56,Join a growing global AI-powered legal technology company as one of their founding engineers. Huge progression opportunity + Equity!,Developers/Programmers,(Information & Communication Technology),(Hybrid),This is a Full time job,0
Software Engineer 2 - Azure Ecosystems Engineering,Microsoft,Sydney NSW,Listed twenty one days ago,https://www.seek.com.au/job/90214600?type=standard&ref=search-standalone&origin=jobCard#sol=4e21db4a872e01cc8e7b6d308d794addfc1f096b,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
"Software Engineer (Early Career) – .NET, SQL & Power BI (Embedded)",ICTx,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90569943?type=standard&ref=search-standalone&origin=jobCard#sol=ba17d139d1b6a33a33e8c935ac2afeff0be5e1cf,"Early-career Sofrware Engineer (2–3 years) to support a modern, purpose-driven SaaS platform using .NET, SQL and Power BI (embedded a plus). WFH.",Developers/Programmers,(Information & Communication Technology),(Remote),This is a Full time job,4
Lead Software Engineer – GenAI Developer Tooling,Peoplebank Australia NSW,Sydney NSW,Listed eleven days ago,https://www.seek.com.au/job/90429054?type=standard&ref=search-standalone&origin=jobCard#sol=b42db0464f133ff7436d5f60fb699f5c34e43c32,"Build GenAI-powered dev tooling and automation that transforms how software is designed, written and delivered at scale.",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,1
Lead Backend Engineer - Python -FinTech,Pair People Pty Limited,Sydney NSW,Listed twenty one days ago,https://www.seek.com.au/job/90236622?type=standard&ref=search-standalone&origin=jobCard#sol=fbc45ac27e42b3bf89a0ef8dbb395910b8d70a08,"Lead Backend Engineer to architect and scale secure, high-performance APIs for a growing SaaS platform in a regulated environment.",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,4
Software Engineer II - Azure Storage,Microsoft,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90327217?type=standard&ref=search-standalone&origin=jobCard#sol=ff9b97c4bb691d3fb64139af091a885e24e1855f,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
AI Engineer / Consultant,Bluefin Resources Pty Limited,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90552623?type=standard&ref=search-standalone&origin=jobCard#sol=6fa48c4f7bdc31a7d73593e57eb3c2a2da2f7ee1,Build and ship end-to-end AI applications - from RAG workflows and agentic systems to scalable APIs and cloud deployment for large global clients.,Other,(Consulting & Strategy),(Hybrid),This is a Full time job,0
