Title,Company,Location,Date Posted,Link
Senior Software Engineer,Billigence,Sydney NSW,Listed eleven days ago,https://www.seek.com.au/job/90434658?type=standard&ref=search-standalone&origin=jobCard#sol=02aea1cb8e1a2d4e707422f95225a2c25dcf40e0
Principal Software Engineer - Azure Storage team,Microsoft,Sydney NSW,Listed ten days ago,https://www.seek.com.au/job/90462201?type=standard&ref=search-standalone&origin=jobCard#sol=39df8504c7cb54224fe3298a25a550772068ac0a
Senior Software Engineer,Microsoft,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90552683?type=standard&ref=search-standalone&origin=jobCard#sol=be71066ce763f32915d677ca919c4f0eed4ccb71
Senior Objectstar Software Engineer (Developer),Calleo,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90574977?type=standard&ref=search-standalone&origin=jobCard#sol=286c8e45c7c90670e51c95aa42528624b4e88584
Software Engineer II - Scenarios Validation,Microsoft,Sydney NSW,Listed fourteen days ago,https://www.seek.com.au/job/90362979?type=standard&ref=search-standalone&origin=jobCard#sol=17adee033d3ab0b952c124bdb963057d4655dabf
Staff Data Scientist,Future Secure AI Pty Ltd,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90609653?type=standard&ref=search-standalone&origin=jobCard#sol=44f70e6d301ea910f4622e8cacb6522f40e2ceb3
Technical Analyst,FlexTrade,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90623459?type=standard&ref=search-standalone&origin=jobCard#sol=f70fca1d8d44aeb79f521351e69fa6499c03f19d
Senior AI Solutions Developer,Galileo Search,Sydney NSW,,https://www.seek.com.au/job/90150826?type=promoted&ref=search-standalone&origin=jobCard#sol=185a83940e41ac1b674175551961eaec76019207
Senior Data Engineer - GCP/Snowflake/Databricks,Simplyai,Sydney NSW,,https://www.seek.com.au/job/90464324?type=promoted&ref=search-standalone&origin=jobCard#sol=785413e95ce6a825de03b4b341f4d37f1e3ef720
Enterprise Data Warehouse Engineer,Recruitment Hive,Sydney NSW,Listed twenty four days ago,https://www.seek.com.au/job/90173682?type=standard&ref=search-standalone&origin=jobCard#sol=256cd3c3b2a108091795e4edf467182c81c61c67
